Species	Count	Family	Order	Class
Parequula melbournensis	19	Gerreidae	Eupercaria/misc	Teleostei
Centroberyx gerrardi	11	Berycidae	Beryciformes	Teleostei
Diodon nicthemerus	13	Diodontidae	Tetraodontiformes	Teleostei
Leviprora inops	7	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Thyrsitoides marleyi	29	Gempylidae	Scombriformes	Teleostei
Ostorhinchus rueppellii	5	Apogonidae	Kurtiformes	Teleostei
Chironemus maculosus	8	Chironemidae	Centrarchiformes	Teleostei
Hyporhamphus melanochir	212	Hemiramphidae	Beloniformes	Teleostei
Kathetostoma nigrofasciatum	3	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Lepidotrigla papilio	17	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Platycephalus sp.	4	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Platycephalus conatus	9	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Platycephalus grandispinis	25	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Polyprion americanus	41	Polyprionidae	Acropomatiformes	Teleostei
Sillago ingenuua	107	Sillaginidae	Eupercaria/misc	Teleostei
Chromis nigrura	35	Pomacentridae	Ovalentaria/misc	Teleostei
Platycephalus speculator	16	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Trachinops noarlungae	4	Plesiopidae	Ovalentaria/misc	Teleostei
Pempheris klunzingeri	32	Pempheridae	Acropomatiformes	Teleostei
Arripis truttaceus	25	Arripidae	Scombriformes	Teleostei
Centroberyx australis	18	Berycidae	Beryciformes	Teleostei
Platycephalus endrachtensis	23	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Microcanthus strigatus	146	Microcanthidae	Centrarchiformes	Teleostei
Neosebastes nigropunctatus	7	Neosebastidae	Perciformes/Scorpaenoidei	Teleostei
Neosebastes pandus	15	Neosebastidae	Perciformes/Scorpaenoidei	Teleostei
Parma sp.	1	Pomacentridae	Ovalentaria/misc	Teleostei
Plectorhinchus vittatus	72	Haemulidae	Eupercaria/misc	Teleostei
Psammoperca waigiensis	37	Latidae	Carangaria/misc	Teleostei
Glaucosoma magnificum	23	Glaucosomatidae	Acropomatiformes	Teleostei
Gymnothorax cribroris	4	Muraenidae	Anguilliformes	Teleostei
Ostorhinchus sp.	60	Apogonidae	Kurtiformes	Teleostei
Gymnothorax thyrsoideus	26	Muraenidae	Anguilliformes	Teleostei
Sphyraena jello	108	Sphyraenidae	Carangaria/misc	Teleostei
Upeneus sp.	20	Mullidae	Mulliformes	Teleostei
Upeneus luzonius	13	Mullidae	Mulliformes	Teleostei
Upeneus taeniopterus	5	Mullidae	Mulliformes	Teleostei
Upeneus tragula	221	Mullidae	Mulliformes	Teleostei
Ostorhinchus apogonoides	76	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides brevicaudatus	12	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides sp.	4	Apogonidae	Kurtiformes	Teleostei
Plectorhinchus sp.	12	Haemulidae	Eupercaria/misc	Teleostei
Sphyraena sp.	17	Sphyraenidae	Carangaria/misc	Teleostei
Callionymus grossi	16	Callionymidae	Callionymiformes	Teleostei
Dactyloptena papilio	16	Dactylopteridae	Dactylopteriformes	Teleostei
Sphyraena novaehollandiae	9	Sphyraenidae	Carangaria/misc	Teleostei
Glaucosoma buergeri	41	Glaucosomatidae	Acropomatiformes	Teleostei
Hyporhamphus quoyi	81	Hemiramphidae	Beloniformes	Teleostei
Plectorhinchus flavomaculatus	48	Haemulidae	Eupercaria/misc	Teleostei
Tathicarpus butleri	22	Tathicarpidae	Lophiiformes	Teleostei
Tragulichthys jaculiferus	11	Diodontidae	Tetraodontiformes	Teleostei
Upeneus sulphureus	189	Mullidae	Mulliformes	Teleostei
Upeneus sundaicus	34	Mullidae	Mulliformes	Teleostei
Arripis georgianus	12	Arripidae	Scombriformes	Teleostei
Pentaceropsis recurvirostris	10	Pentacerotidae	Acropomatiformes	Teleostei
Cetonurus globiceps	21	Macrouridae	Gadiformes	Teleostei
Rhombosolea retiaria	1	Rhombosoleidae	Pleuronectiformes	Teleostei
Rhombosolea leporina	12	Rhombosoleidae	Pleuronectiformes	Teleostei
Colistium guentheri	1	Rhombosoleidae	Pleuronectiformes	Teleostei
Rhombosolea tapirina	23	Rhombosoleidae	Pleuronectiformes	Teleostei
Parascombrops philippinensis	11	Synagropidae	Acropomatiformes	Teleostei
Parascombrops serratospinosus	4	Synagropidae	Acropomatiformes	Teleostei
Parascombrops spinosus	32	Synagropidae	Acropomatiformes	Teleostei
Verilus pacificus	4	Malakichthyidae	Acropomatiformes	Teleostei
Parascombrops nakayamai	3	Synagropidae	Acropomatiformes	Teleostei
Parascombrops analis	1	Synagropidae	Acropomatiformes	Teleostei
Alepocephalus tenebrosus	100	Alepocephalidae	Alepocephaliformes	Teleostei
Narcetes shonanmaruae	19	Alepocephalidae	Alepocephaliformes	Teleostei
Rouleina attrita	23	Alepocephalidae	Alepocephaliformes	Teleostei
Rouleina maderensis	7	Alepocephalidae	Alepocephaliformes	Teleostei
Narcetes erimelas	16	Alepocephalidae	Alepocephaliformes	Teleostei
Narcetes stomias	25	Alepocephalidae	Alepocephaliformes	Teleostei
Leptoderma retropinna	18	Alepocephalidae	Alepocephaliformes	Teleostei
Leptoderma macrophthalmum	16	Alepocephalidae	Alepocephaliformes	Teleostei
Leptoderma lubricum	16	Alepocephalidae	Alepocephaliformes	Teleostei
Conocara murrayi	19	Alepocephalidae	Alepocephaliformes	Teleostei
Conocara macropterum	16	Alepocephalidae	Alepocephaliformes	Teleostei
Conocara kreffti	4	Alepocephalidae	Alepocephaliformes	Teleostei
Conocara sp.	1	Alepocephalidae	Alepocephaliformes	Teleostei
Conocara nigrum	2	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus umbriceps	16	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus productus	16	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus longiceps	10	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus bicolor	54	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus bairdii	22	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus australis	23	Alepocephalidae	Alepocephaliformes	Teleostei
Alepocephalus agassizii	27	Alepocephalidae	Alepocephaliformes	Teleostei
Abantennarius sanguineus	6	Antennariidae	Lophiiformes	Teleostei
Fowlerichthys radiosus	21	Antennariidae	Lophiiformes	Teleostei
Fowlerichthys ocellatus	3	Antennariidae	Lophiiformes	Teleostei
Rhycherus filamentosus	15	Rhycheridae	Lophiiformes	Teleostei
Abantennarius rosaceus	5	Antennariidae	Lophiiformes	Teleostei
Abantennarius dorehensis	1	Antennariidae	Lophiiformes	Teleostei
Fowlerichthys avalonis	7	Antennariidae	Lophiiformes	Teleostei
Fowlerichthys scriptissimus	6	Antennariidae	Lophiiformes	Teleostei
Abantennarius coccineus	68	Antennariidae	Lophiiformes	Teleostei
Abantennarius nummifer	16	Antennariidae	Lophiiformes	Teleostei
Neoaploactis tridorsalis	1	Aploactinidae	Perciformes/Scorpaenoidei	Teleostei
Paraploactis kagoshimensis	6	Aploactinidae	Perciformes/Scorpaenoidei	Teleostei
Cocotropus aurantius	2	Aploactinidae	Perciformes/Scorpaenoidei	Teleostei
Cocotropus izuensis	1	Aploactinidae	Perciformes/Scorpaenoidei	Teleostei
Aplodactylus arctidens	9	Aplodactylidae	Centrarchiformes	Teleostei
Ostorhinchus fasciatus	170	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus doederleini	187	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus fleurieu	64	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus cookii	106	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides sialis	3	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus kiensis	16	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus margaritophorus	8	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides nigripinnis	14	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus aureus	62	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus nigrofasciatus	90	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus cyanosoma	50	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus multilineatus	6	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus moluccensis	7	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus monospilus	8	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus compressus	27	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus rubrimacula	15	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus angustatus	59	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus wassinki	4	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus endekataenia	25	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus holotaenia	19	Apogonidae	Kurtiformes	Teleostei
Siphamia argentea	5	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus ishigakiensis	10	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides niger	29	Apogonidae	Kurtiformes	Teleostei
Siphamia majimai	8	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides melas	24	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus novemfasciatus	44	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus taeniophorus	59	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus nigrocincta	14	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus selas	6	Apogonidae	Kurtiformes	Teleostei
Siphamia tubifer	17	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus sp.	91	Apogonidae	Kurtiformes	Teleostei
Foa fo	7	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides umbratilis	10	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus gularis	52	Apogonidae	Kurtiformes	Teleostei
Siphamia senoui	1	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus fukuii	10	Apogonidae	Kurtiformes	Teleostei
Apogonichthyoides timorensis	24	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus chrysopomus	5	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus sealei	16	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus pleuron	35	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus cheni	5	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus franssedai	1	Apogonidae	Kurtiformes	Teleostei
Vincentia novaehollandiae	4	Apogonidae	Kurtiformes	Teleostei
Siphamia tubulata	14	Apogonidae	Kurtiformes	Teleostei
Siphamia sp.	7	Apogonidae	Kurtiformes	Teleostei
Siphamia roseigaster	11	Apogonidae	Kurtiformes	Teleostei
Siphamia jebbi	4	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus neotes	3	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus luteus	4	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus hoevenii	8	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus flagelliferus	12	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus dispar	5	Apogonidae	Kurtiformes	Teleostei
Foa leisi	3	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus sangiensis	1	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus quadrifasciatus	16	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus properuptus	32	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus guamensis	7	Apogonidae	Kurtiformes	Teleostei
Ostorhinchus ventrifasciatus	1	Apogonidae	Kurtiformes	Teleostei
Kentrocapros flavofasciatus	3	Aracanidae	Tetraodontiformes	Teleostei
Argentina sialis	18	Argentinidae	Argentiniformes	Teleostei
Argentina australiae	6	Argentinidae	Argentiniformes	Teleostei
Argentina silus	40	Argentinidae	Argentiniformes	Teleostei
Argentina kagoshimae	14	Argentinidae	Argentiniformes	Teleostei
Pararius proximus	5	Ariidae	Siluriformes	Teleostei
Ariomma lurida	21	Ariommatidae	Scombriformes	Teleostei
Ariomma indica	74	Ariommatidae	Scombriformes	Teleostei
Ariomma brevimanus	13	Ariommatidae	Scombriformes	Teleostei
Arripis trutta	55	Arripidae	Scombriformes	Teleostei
Arripis georgiana	9	Arripidae	Scombriformes	Teleostei
Atherion elymus	16	Atherionidae	Atheriniformes	Teleostei
Atherinomorus lineatus	1	Atherinidae	Atheriniformes	Teleostei
Atherinomorus endrachtensis	21	Atherinidae	Atheriniformes	Teleostei
Atherinomorus lacunosus	80	Atherinidae	Atheriniformes	Teleostei
Atherinomorus stipes	99	Atherinidae	Atheriniformes	Teleostei
Atherinomorus insularum	10	Atherinidae	Atheriniformes	Teleostei
Atherinomorus sp.	34	Atherinidae	Atheriniformes	Teleostei
Atherinomorus regina	3	Atherinidae	Atheriniformes	Teleostei
Atherinomorus pinguis	2	Atherinidae	Atheriniformes	Teleostei
Craterocephalus stercusmuscarum	23	Atherinidae	Atheriniformes	Teleostei
Craterocephalus amniculus	10	Atherinidae	Atheriniformes	Teleostei
Craterocephalus fluviatilis	11	Atherinidae	Atheriniformes	Teleostei
Atherinosoma microstoma	23	Atherinidae	Atheriniformes	Teleostei
Atherinomorus cf.	1	Atherinidae	Atheriniformes	Teleostei
Atherinomorus forskalii	18	Atherinidae	Atheriniformes	Teleostei
Leptatherina wallacei	6	Atherinidae	Atheriniformes	Teleostei
Craterocephalus marjoriae	6	Atherinidae	Atheriniformes	Teleostei
Craterocephalus gloveri	3	Atherinidae	Atheriniformes	Teleostei
Craterocephalus eyresii	9	Atherinidae	Atheriniformes	Teleostei
Craterocephalus dalhousiensis	3	Atherinidae	Atheriniformes	Teleostei
Craterocephalus centralis	3	Atherinidae	Atheriniformes	Teleostei
Craterocephalus sp.	20	Atherinidae	Atheriniformes	Teleostei
Craterocephalus honoriae	6	Atherinidae	Atheriniformes	Teleostei
Atherinomorus ogilbyi	1	Atherinidae	Atheriniformes	Teleostei
Banjos banjos	34	Banjosidae	Acropomatiformes	Teleostei
Bathylagus pacificus	17	Bathylagidae	Argentiniformes	Teleostei
Bathylagichthys greyae	16	Bathylagidae	Argentiniformes	Teleostei
Bathylagus euryops	42	Bathylagidae	Argentiniformes	Teleostei
Tylosurus crocodilus	241	Belonidae	Beloniformes	Teleostei
Strongylura anastomella	19	Belonidae	Beloniformes	Teleostei
Strongylura marina	36	Belonidae	Beloniformes	Teleostei
Strongylura exilis	5	Belonidae	Beloniformes	Teleostei
Scomberesox saurus	42	Scomberesocidae	Beloniformes	Teleostei
Strongylura incisa	27	Belonidae	Beloniformes	Teleostei
Strongylura timucu	34	Belonidae	Beloniformes	Teleostei
Strongylura notata	82	Belonidae	Beloniformes	Teleostei
Tylosurus acus	50	Belonidae	Beloniformes	Teleostei
Strongylura strongylura	86	Belonidae	Beloniformes	Teleostei
Tylosurus melanotus	11	Belonidae	Beloniformes	Teleostei
Tylosurus pacificus	2	Belonidae	Beloniformes	Teleostei
Strongylura senegalensis	5	Belonidae	Beloniformes	Teleostei
Strongylura scapularis	3	Belonidae	Beloniformes	Teleostei
Strongylura n.	3	Belonidae	Beloniformes	Teleostei
Strongylura hubbsi	5	Belonidae	Beloniformes	Teleostei
Strongylura fluviatilis	6	Belonidae	Beloniformes	Teleostei
Bembras japonica	15	Bembridae	Perciformes/Scorpaenoidei	Teleostei
Bembrops curvatura	8	Bembropidae	Perciformes/Bembropoidei	Teleostei
Bembrops sp.	3	Bembropidae	Perciformes/Bembropoidei	Teleostei
Bembrops heterurus	3	Bembropidae	Perciformes/Bembropoidei	Teleostei
Centroberyx druzhinini	24	Berycidae	Beryciformes	Teleostei
Bovichtus variegatus	6	Bovichtidae	Perciformes/Notothenioidei	Teleostei
Bovichtus diacanthus	7	Bovichtidae	Perciformes/Notothenioidei	Teleostei
Bovichtus argentinus	7	Bovichtidae	Perciformes/Notothenioidei	Teleostei
Pterycombus brama	27	Bramidae	Scombriformes	Teleostei
Brama sp.	10	Bramidae	Scombriformes	Teleostei
Pteraclis aesticola	22	Bramidae	Scombriformes	Teleostei
Pterycombus petersii	23	Bramidae	Scombriformes	Teleostei
Brama japonica	82	Bramidae	Scombriformes	Teleostei
Brama orcini	25	Bramidae	Scombriformes	Teleostei
Brama pauciradiata	4	Bramidae	Scombriformes	Teleostei
Taractichthys steindachneri	67	Bramidae	Scombriformes	Teleostei
Eumegistus illustris	22	Bramidae	Scombriformes	Teleostei
Brama dussumieri	62	Bramidae	Scombriformes	Teleostei
Brama brama	99	Bramidae	Scombriformes	Teleostei
Bregmaceros japonicus	8	Bregmacerotidae	Gadiformes	Teleostei
Bregmaceros nectabanus	50	Bregmacerotidae	Gadiformes	Teleostei
Bregmaceros neonectabanus	2	Bregmacerotidae	Gadiformes	Teleostei
Bregmaceros sp.	17	Bregmacerotidae	Gadiformes	Teleostei
Bregmaceros atlanticus	20	Bregmacerotidae	Gadiformes	Teleostei
Bregmaceros cantori	12	Bregmacerotidae	Gadiformes	Teleostei
Callanthias japonicus	11	Callanthiidae	Eupercaria/misc	Teleostei
Callanthias ruber	8	Callanthiidae	Eupercaria/misc	Teleostei
Callionymus kaianus	42	Callionymidae	Callionymiformes	Teleostei
Callionymus japonicus	17	Callionymidae	Callionymiformes	Teleostei
Synchiropus atrilabiatus	15	Callionymidae	Callionymiformes	Teleostei
Synchiropus splendidus	75	Callionymidae	Callionymiformes	Teleostei
Synchiropus phaeton	19	Callionymidae	Callionymiformes	Teleostei
Synchiropus flavistrigatus	6	Callionymidae	Callionymiformes	Teleostei
Callionymus pleurostictus	1	Callionymidae	Callionymiformes	Teleostei
Callionymus bairdi	72	Callionymidae	Callionymiformes	Teleostei
Callionymus reticulatus	20	Callionymidae	Callionymiformes	Teleostei
Callionymus enneactis	27	Callionymidae	Callionymiformes	Teleostei
Callionymus simplicicornis	34	Callionymidae	Callionymiformes	Teleostei
Callionymus marquesensis	11	Callionymidae	Callionymiformes	Teleostei
Callionymus beniteguri	5	Callionymidae	Callionymiformes	Teleostei
Callionymus lyra	76	Callionymidae	Callionymiformes	Teleostei
Callionymus maculatus	32	Callionymidae	Callionymiformes	Teleostei
Callionymus valenciennei	48	Callionymidae	Callionymiformes	Teleostei
Synchiropus masudai	3	Callionymidae	Callionymiformes	Teleostei
Callionymus sp.	34	Callionymidae	Callionymiformes	Teleostei
Callionymus guentheri	1	Callionymidae	Callionymiformes	Teleostei
Callionymus izuensis	1	Callionymidae	Callionymiformes	Teleostei
Synchiropus kiyoae	3	Callionymidae	Callionymiformes	Teleostei
Synchiropus picturatus	15	Callionymidae	Callionymiformes	Teleostei
Callionymus belcheri	10	Callionymidae	Callionymiformes	Teleostei
Callionymus formosanus	36	Callionymidae	Callionymiformes	Teleostei
Callionymus sokonumeri	11	Callionymidae	Callionymiformes	Teleostei
Antigonia capros	29	Antigoniidae	Acanthuriformes	Teleostei
Antigonia steindachneri	2	Antigoniidae	Acanthuriformes	Teleostei
Antigonia rubicunda	4	Antigoniidae	Acanthuriformes	Teleostei
Antigonia rubescens	13	Antigoniidae	Acanthuriformes	Teleostei
Caristius macropus	8	Caristiidae	Scombriformes	Teleostei
Caristius groenlandicus	2	Caristiidae	Scombriformes	Teleostei
Caristius sp.	4	Caristiidae	Scombriformes	Teleostei
Macroramphosus gracilis	39	Centriscidae	Syngnathiformes	Teleostei
Macroramphosus sagifue	8	Centriscidae	Syngnathiformes	Teleostei
Macroramphosus scolopax	229	Centriscidae	Syngnathiformes	Teleostei
Hyperoglyphe japonica	32	Centrolophidae	Scombriformes	Teleostei
Schedophilus medusophagus	11	Centrolophidae	Scombriformes	Teleostei
Seriolella punctata	31	Centrolophidae	Scombriformes	Teleostei
Schedophilus velaini	93	Centrolophidae	Scombriformes	Teleostei
Hyperoglyphe antarctica	303	Centrolophidae	Scombriformes	Teleostei
Seriolella brama	41	Centrolophidae	Scombriformes	Teleostei
Owstonia japonica	1	Cepolidae	Eupercaria/misc	Teleostei
Cepola macrophthalma	62	Cepolidae	Eupercaria/misc	Teleostei
Owstonia totomiensis	2	Cepolidae	Eupercaria/misc	Teleostei
Cepola schlegelii	18	Cepolidae	Eupercaria/misc	Teleostei
Champsodon sp.	9	Champsodontidae	Acropomatiformes	Teleostei
Champsodon snyderi	36	Champsodontidae	Acropomatiformes	Teleostei
Champsodon pantolepis	7	Champsodontidae	Acropomatiformes	Teleostei
Champsodon longipinnis	2	Champsodontidae	Acropomatiformes	Teleostei
Champsodon nudivittis	19	Champsodontidae	Acropomatiformes	Teleostei
Champsodon vorax	6	Champsodontidae	Acropomatiformes	Teleostei
Chironemus marmoratus	11	Chironemidae	Centrarchiformes	Teleostei
Heteroclinus sp.	29	Clinidae	Blenniiformes	Teleostei
Heteroclinus wilsoni	7	Clinidae	Blenniiformes	Teleostei
Heteroclinus heptaeolus	20	Clinidae	Blenniiformes	Teleostei
Limnichthys fasciatus	11	Creediidae	Acropomatiformes	Teleostei
Limnichthys nitidus	32	Creediidae	Acropomatiformes	Teleostei
Cyttus traversi	27	Cyttidae	Zeiformes	Teleostei
Cyttus novaezealandiae	17	Cyttidae	Zeiformes	Teleostei
Cyttus australis	15	Cyttidae	Zeiformes	Teleostei
Dactyloptena orientalis	109	Dactylopteridae	Dactylopteriformes	Teleostei
Dactyloptena peterseni	32	Dactylopteridae	Dactylopteriformes	Teleostei
Dactyloptena gilberti	17	Dactylopteridae	Dactylopteriformes	Teleostei
Dactyloptena tiltoni	24	Dactylopteridae	Dactylopteriformes	Teleostei
Dinolestes lewini	18	Dinolestidae	Acropomatiformes	Teleostei
Diodon hystrix	90	Diodontidae	Tetraodontiformes	Teleostei
Diodon holocanthus	208	Diodontidae	Tetraodontiformes	Teleostei
Diodon eydouxii	3	Diodontidae	Tetraodontiformes	Teleostei
Diodon liturosus	44	Diodontidae	Tetraodontiformes	Teleostei
Centrodraco pseudoxenicus	1	Draconettidae	Callionymiformes	Teleostei
Epigonus denticulatus	28	Epigonidae	Acropomatiformes	Teleostei
Epigonus sp.	5	Epigonidae	Acropomatiformes	Teleostei
Epigonus atherinoides	2	Epigonidae	Acropomatiformes	Teleostei
Epigonus pectinifer	3	Epigonidae	Acropomatiformes	Teleostei
Epigonus lenimen	12	Epigonidae	Acropomatiformes	Teleostei
Epigonus telescopus	48	Epigonidae	Acropomatiformes	Teleostei
Epigonus constanciae	3	Epigonidae	Acropomatiformes	Teleostei
Euclichthys polynemus	23	Euclichthyidae	Gadiformes	Teleostei
Cheilopogon doederleinii	13	Exocoetidae	Beloniformes	Teleostei
Cheilopogon pinnatibarbatus	35	Exocoetidae	Beloniformes	Teleostei
Cheilopogon unicolor	23	Exocoetidae	Beloniformes	Teleostei
Cypselurus hiraii	26	Exocoetidae	Beloniformes	Teleostei
Cheilopogon cyanopterus	46	Exocoetidae	Beloniformes	Teleostei
Hirundichthys rondeletii	21	Exocoetidae	Beloniformes	Teleostei
Cheilopogon spilonotopterus	59	Exocoetidae	Beloniformes	Teleostei
Hirundichthys affinis	27	Exocoetidae	Beloniformes	Teleostei
Exocoetus volitans	44	Exocoetidae	Beloniformes	Teleostei
Cypselurus poecilopterus	29	Exocoetidae	Beloniformes	Teleostei
Cheilopogon intermedius	10	Exocoetidae	Beloniformes	Teleostei
Cheilopogon abei	9	Exocoetidae	Beloniformes	Teleostei
Hirundichthys speculiger	14	Exocoetidae	Beloniformes	Teleostei
Cypselurus angusticeps	18	Exocoetidae	Beloniformes	Teleostei
Cheilopogon heterurus	8	Exocoetidae	Beloniformes	Teleostei
Cheilopogon pitcairnensis	7	Exocoetidae	Beloniformes	Teleostei
Cheilopogon sp.	3	Exocoetidae	Beloniformes	Teleostei
Cheilopogon suttoni	8	Exocoetidae	Beloniformes	Teleostei
Cheilopogon atrisignis	16	Exocoetidae	Beloniformes	Teleostei
Cheilopogon exsiliens	16	Exocoetidae	Beloniformes	Teleostei
Cheilopogon agoo	14	Exocoetidae	Beloniformes	Teleostei
Cypselurus oligolepis	12	Exocoetidae	Beloniformes	Teleostei
Hirundichthys oxycephalus	37	Exocoetidae	Beloniformes	Teleostei
Cypselurus opisthopus	3	Exocoetidae	Beloniformes	Teleostei
Cypselurus naresii	8	Exocoetidae	Beloniformes	Teleostei
Cypselurus starksi	8	Exocoetidae	Beloniformes	Teleostei
Cheilopogon melanurus	7	Exocoetidae	Beloniformes	Teleostei
Micromesistius poutassou	130	Gadidae	Gadiformes	Teleostei
Gaidropsarus ensis	82	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus argentatus	80	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus vulgaris	63	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus biscayensis	39	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus macrophthalmus	60	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus granti	7	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus mediterraneus	64	Gaidropsaridae	Gadiformes	Teleostei
Gaidropsarus guttatus	31	Gaidropsaridae	Gadiformes	Teleostei
Rexea prometheoides	61	Gempylidae	Scombriformes	Teleostei
Rexea nakamurai	15	Gempylidae	Scombriformes	Teleostei
Rexea bengalensis	9	Gempylidae	Scombriformes	Teleostei
Paradiplospinus antarcticus	7	Gempylidae	Scombriformes	Teleostei
Rexea solandri	47	Gempylidae	Scombriformes	Teleostei
Girella punctata	71	Girellidae	Centrarchiformes	Teleostei
Girella leonina	19	Girellidae	Centrarchiformes	Teleostei
Girella nigricans	9	Girellidae	Centrarchiformes	Teleostei
Girella mezina	9	Girellidae	Centrarchiformes	Teleostei
Girella melanichthys	5	Girellidae	Centrarchiformes	Teleostei
Girella simplicidens	5	Girellidae	Centrarchiformes	Teleostei
Girella fimbriata	4	Girellidae	Centrarchiformes	Teleostei
Girella nebulosa	1	Girellidae	Centrarchiformes	Teleostei
Girella cyanea	2	Girellidae	Centrarchiformes	Teleostei
Girella zebra	3	Girellidae	Centrarchiformes	Teleostei
Girella tricuspidata	11	Girellidae	Centrarchiformes	Teleostei
Girella laevifrons	9	Girellidae	Centrarchiformes	Teleostei
Glaucosoma hebraicum	14	Glaucosomatidae	Acropomatiformes	Teleostei
Gnathanacanthus goetzeei	9	Gnathanacanthidae	Perciformes/Scorpaenoidei	Teleostei
Gonorynchus abbreviatus	38	Gonorynchidae	Gonorynchiformes	Teleostei
Plectorhinchus chaetodonoides	74	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus sordidus	22	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus pica	17	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus unicolor	11	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus lessonii	41	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus gibbosus	50	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus cinctus	48	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus gaterinus	43	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus chrysotaenia	22	Haemulidae	Eupercaria/misc	Teleostei
Diagramma picta	184	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus lineatus	60	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus albovittatus	12	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus polytaenia	25	Haemulidae	Eupercaria/misc	Teleostei
Plectorhinchus orientalis	13	Haemulidae	Eupercaria/misc	Teleostei
Diagramma melanacrum	8	Haemulidae	Eupercaria/misc	Teleostei
Halosaurus johnsonianus	8	Halosauridae	Notacanthiformes	Teleostei
Halosaurus ovenii	19	Halosauridae	Notacanthiformes	Teleostei
Halosaurus carinicauda	2	Halosauridae	Notacanthiformes	Teleostei
